Oracle,www.oracle.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,18373,3.2,3.2,3.2,3.4,OK,62,2.9,3.8
Kaiser Permanente,www.kaiserpermanente.org,Health Care Services & Hospitals,Health Care Services & Hospitals,Health Care,5559,3.7,4.3,3.8,3.9,Satisfied,80,3.3,3.7
Wells Fargo,www.wellsfargo.com,,,,19411,3.5,3.6,3.5,3.5,Satisfied,67,3.1,3.6
Salesforce,www.salesforce.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,3940,4.2,4.5,4.5,4.3,Very Satisfied,88,4.0,4.0
Genentech,www.gene.com,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,2032,3.3,3.9,4.0,4.0,Satisfied,83,3.2,3.8
Facebook,www.facebook.com,Internet,Internet,Information Technology,2746,4.3,4.6,4.5,4.5,Very Satisfied,92,4.2,3.9
University of California Berkeley,www.berkeley.edu,Colleges & Universities,Colleges & Universities,Education,2050,3.8,3.5,4.0,4.1,Very Satisfied,82,3.4,3.9
Visa Inc.,www.visa.com,IT Services,IT Services,Information Technology,2184,3.0,3.7,3.2,3.2,OK,55,2.7,3.4
Pacific Gas and Electric,www.pge.com,Utilities,Utilities,Oil, Gas, Energy & Utilities,1190,3.4,4.0,3.3,3.4,OK,64,2.8,3.5
Uber,www.uber.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,5254,3.3,3.1,3.3,4.2,Very Satisfied,84,3.1,3.6
Safeway,www.safeway.com,Grocery Stores & Supermarkets,Grocery Stores & Supermarkets,Retail,3848,2.8,2.9,2.7,2.8,OK,40,2.5,2.6
UC San Francisco,www.ucsf.edu,Colleges & Universities,Colleges & Universities,Education,1045,3.8,3.5,3.9,4.0,Satisfied,83,3.3,3.7
Autodesk,www.autodesk.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,1599,3.2,3.9,3.8,3.7,Satisfied,72,3.3,4.0
Gap,www.gap.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,4530,3.2,3.3,3.8,3.6,Satisfied,67,3.1,3.4
AT&T,www.att.jobs,Telecommunications Services,Telecommunications Services,Telecommunications,18049,3.2,3.8,3.2,3.4,OK,60,2.8,3.0
Charles Schwab,www.schwab.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,2024,3.3,3.5,3.8,3.5,Satisfied,60,3.2,3.6
Yelp,www.yelp.com,Internet,Internet,Information Technology,1613,3.4,3.3,3.8,3.4,OK,55,3.3,3.8
Tesla,www.tesla.com,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,Manufacturing,1577,3.4,3.3,3.6,3.4,OK,58,3.0,2.5
Bank of America,www.bankofamerica.com,Banks & Credit Unions,Banks & Credit Unions,Finance,19175,3.4,3.7,3.5,3.5,Satisfied,67,3.0,3.5
Deloitte,www.deloitte.com,Accounting,Accounting,Accounting & Legal,22749,3.9,3.5,3.8,3.8,Satisfied,80,3.4,3.0
Accenture,www.accenture.com,,,,33461,3.7,3.4,3.8,3.8,Satisfied,80,3.2,3.3
Workday,www.workday.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,916,3.6,3.8,4.1,3.9,Satisfied,73,3.8,4.1
Zynga,www.zynga.com,Video Games,Video Games,Media,738,3.6,4.2,3.6,3.7,Satisfied,63,3.1,3.9
Twitter,www.twitter.com,Internet,Internet,Information Technology,730,3.8,4.1,4.3,4.1,Very Satisfied,81,3.5,4.3
Chevron,www.chevron.com,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,Oil, Gas, Energy & Utilities,2295,3.4,4.0,4.0,3.9,Satisfied,78,3.3,4.0
Macy's,www.macysjobs.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,15582,2.9,2.8,3.1,3.1,OK,51,2.8,3.0
Williams-Sonoma,www.williams-sonomainc.com,Home Furniture & Housewares Stores,Home Furniture & Housewares Stores,Retail,1643,2.6,2.6,2.9,2.8,OK,44,2.5,2.8
Starbucks,www.starbucks.com,Fast-Food & Quick-Service Restaurants,Fast-Food & Quick-Service Restaurants,Restaurants, Bars & Food Services,17766,3.5,3.9,4.0,3.9,Satisfied,78,3.2,3.5
Electronic Arts,www.ea.com,Video Games,Video Games,Media,1834,3.4,3.7,3.9,3.9,Satisfied,82,3.5,3.8
The Clorox Company,www.thecloroxcompany.com,Consumer Products Manufacturing,Consumer Products Manufacturing,Manufacturing,723,4.0,3.9,4.5,4.3,Very Satisfied,90,4.2,4.6
Gilead Sciences,www.gilead.com,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,694,2.9,3.7,3.1,3.2,OK,53,2.8,2.6
SolarCity,www.solarcity.com,Energy,Energy,Oil, Gas, Energy & Utilities,2334,3.1,3.1,3.4,3.2,OK,51,2.9,2.8
Academy of Art University,www.academyart.edu,Colleges & Universities,Colleges & Universities,Education,450,2.5,2.5,2.6,2.8,OK,37,2.2,3.3
Guidewire,www.guidewire.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,685,4.3,4.3,4.6,4.5,Very Satisfied,89,4.4,4.4
Glassdoor,www.glassdoor.com,Internet,Internet,Information Technology,472,3.9,3.6,4.3,4.1,Very Satisfied,82,3.9,4.2
Lawrence Livermore National Laboratory,www.llnl.gov,Federal Agencies,Federal Agencies,Government,455,4.1,4.1,4.2,4.4,Very Satisfied,92,3.9,4.5
Target,www.target.com,,,,27717,3.1,3.2,3.5,3.4,OK,64,3.0,3.2
Nordstrom,www.nordstrom.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,9531,3.6,3.5,3.8,3.6,Satisfied,68,3.2,3.1
Walmart eCommerce,www.walmartlabs.com,Internet,Internet,Information Technology,638,3.2,3.6,3.1,3.2,OK,57,2.7,3.5
Google,www.google.com,Internet,Internet,Information Technology,8818,4.1,4.4,4.3,4.4,Very Satisfied,90,3.9,4.1
Blue Shield Of California,www.blueshieldca.com,Insurance Carriers,Insurance Carriers,Insurance,748,3.4,3.7,3.5,3.3,OK,66,3.0,3.6
PwC,www.pwc.com,Accounting,Accounting,Accounting & Legal,18040,4.0,3.4,3.8,3.8,Satisfied,77,3.4,2.9
EY,www.ey.com,Accounting,Accounting,Accounting & Legal,17623,4.0,3.3,3.8,3.8,Satisfied,78,3.4,2.9
Adobe,www.adobe.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,3186,3.8,4.2,4.3,4.2,Very Satisfied,87,3.6,4.2
Apple,www.apple.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,12596,3.5,4.2,4.1,4.0,Satisfied,79,3.5,3.4
IBM,www.ibm.com,,,,37520,3.5,3.1,3.5,3.6,Satisfied,66,3.0,3.7
Sun Microsystems,www.oracle.com,,,,1137,3.4,3.1,3.9,3.2,OK,73,3.3,3.5
Airbnb,www.airbnb.com,Hotels, Motels, & Resorts,Hotels, Motels, & Resorts,Travel & Tourism,713,3.4,3.8,4.1,4.0,Satisfied,73,3.4,3.8
Levi Strauss,www.levistrauss.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,1084,3.0,3.2,3.9,3.5,Satisfied,66,3.0,3.4
Robert Half,www.roberthalf.com,Staffing & Outsourcing,Staffing & Outsourcing,Business Services,2782,3.2,2.9,3.0,3.3,OK,57,2.9,3.1
Bank of the West,www.bankofthewest.com,Banks & Credit Unions,Banks & Credit Unions,Finance,818,2.8,2.8,2.8,2.8,OK,43,2.5,3.2
Lawrence Berkeley Lab,www.lbl.gov,State & Regional Agencies,State & Regional Agencies,Government,467,3.7,3.8,3.9,4.1,Very Satisfied,82,3.6,4.0
McKesson,www.mckesson.com,Health Care Services & Hospitals,Health Care Services & Hospitals,Health Care,2681,3.1,3.5,3.2,3.3,OK,60,2.8,3.3
Riverbed Technology,www.riverbed.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,941,3.2,3.7,3.6,3.5,Satisfied,63,3.2,3.9
Ross Stores,www.rossstores.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,3793,3.1,2.8,3.0,3.1,OK,52,2.8,3.1
LendingClub,www.lendingclub.com,Banks & Credit Unions,Banks & Credit Unions,Finance,336,3.0,3.5,3.3,3.2,OK,50,2.9,3.5
,,,,,,,,,,,,,
Square,www.squareup.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,408,3.8,3.8,4.4,4.2,Very Satisfied,87,3.9,4.0
BlackRock,www.blackrock.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,1783,3.6,3.4,3.8,3.8,Satisfied,78,3.5,3.6
Lam Research,www.lamresearch.com,Electrical & Electronic Manufacturing,Electrical & Electronic Manufacturing,Manufacturing,566,3.7,4.0,3.8,3.9,Satisfied,78,3.4,3.4
LinkedIn,www.linkedin.com,Internet,Internet,Information Technology,2242,4.0,4.4,4.5,4.4,Very Satisfied,89,4.0,4.3
Zenefits,www.zenefits.com,IT Services,IT Services,Information Technology,466,3.0,3.4,3.0,3.1,OK,43,2.7,3.0
Informatica,www.informatica.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,1075,3.9,4.0,4.1,4.2,Very Satisfied,84,3.9,4.2
Lyft,www.lyft.com,Transportation Management,Transportation Management,Transportation & Logistics,1286,2.7,2.7,3.2,3.9,Satisfied,72,2.7,3.6
CSAA Insurance Group,csaa-insurance.aaa.com,Insurance Carriers,Insurance Carriers,Insurance,741,3.5,3.8,3.7,3.4,OK,64,3.0,3.5
